Entity,Code,Year,"GDP per capita, PPP (constant 2021 international $)",Continent,yoy_growth,growth_3y,growth_5y,growth_10y,cagr_5y,ma_3y,ma_5y,ma_10y,trend_vs_ma3,trend_vs_ma5,trend_vs_ma10,ma5_slope,volatility_5y,cv_growth_5y,gdp_volatility_5y,risk_adjusted_performance,max_drawdown_5y,in_recession,in_recovery,economic_phase,crisis_year,years_since_recession,world_avg_gdp,continent_avg_gdp,gdp_vs_world,gdp_vs_continent,world_avg_growth,growth_vs_world,world_percentile,continent_percentile,income_classification
Afghanistan,AFG,2000,1617.826,Asia,,,,,,1617.826,1617.826,1617.826,0.0,0.0,0.0,,,,,,,False,False,stable,False,0,18926.987,19917.693,-91.452,-91.877,3.219,,7.282,6.818,Low Income
Afghanistan,AFG,2001,1454.111,Asia,-10.119,,,,,1535.969,1535.969,1535.969,-5.329,-5.329,-5.329,,,,115.764,,,False,False,crisis,True,0,19190.346,19716.789,-92.423,-92.625,1.772,-11.891,5.34,2.273,Low Income
Afghanistan,AFG,2002,1774.309,Asia,22.02,,,,,1615.415,1615.415,1615.415,9.836,9.836,9.836,-1.206,22.726,381.93,160.113,0.262,,False,True,recovery,False,0,19601.423,19849.783,-90.948,-91.061,1.932,20.088,7.729,6.818,Low Income
Afghanistan,AFG,2003,1815.928,Asia,2.346,12.245,,,,1681.449,1665.544,1665.544,7.998,9.029,9.029,64.787,16.204,341.224,164.748,0.293,,False,False,stable,False,0,20061.665,20422.14,-90.948,-91.108,2.558,-0.212,7.729,4.545,Low Income
Afghanistan,AFG,2004,1776.918,Asia,-2.148,22.2,,,,1789.052,1687.818,1687.818,-0.678,5.279,5.279,36.202,13.673,452.054,151.12,0.221,-19.925,False,False,stable,False,0,20914.556,21520.478,-91.504,-91.743,4.326,-6.474,7.246,2.273,Low Income
Afghanistan,AFG,2005,1908.115,Asia,7.383,7.541,17.943,,3.356,1833.654,1745.876,1724.534,4.061,9.293,10.645,40.166,12.0,307.989,171.849,0.325,-23.793,False,True,recovery,False,0,21513.315,22033.217,-91.131,-91.34,3.588,3.796,6.763,2.273,Low Income
Afghanistan,AFG,2006,1929.724,Asia,1.132,6.267,32.708,,5.823,1871.586,1840.999,1753.847,3.106,4.819,10.028,76.59,9.512,154.745,73.415,0.646,-8.054,False,False,stable,False,0,22702.237,22934.075,-91.5,-91.586,4.234,-3.102,7.212,2.273,Low Income
Afghanistan,AFG,2007,2155.353,Asia,11.692,21.297,21.476,,3.968,1997.731,1917.208,1804.035,7.89,12.421,19.474,85.666,5.462,133.842,147.387,0.747,-17.558,False,False,growth,False,0,23408.29,23139.585,-90.792,-90.685,3.908,7.784,8.654,2.273,Low Income
Afghanistan,AFG,2008,2191.504,Asia,1.677,14.852,20.682,,3.831,2092.194,1992.323,1847.088,4.747,9.997,18.646,75.662,5.523,139.918,175.827,0.715,-18.918,False,False,stable,False,0,23609.286,23121.283,-90.718,-90.522,2.303,-0.626,9.524,2.273,Low Income
Afghanistan,AFG,2009,2565.022,Asia,17.044,32.922,44.352,,7.618,2303.96,2149.944,1918.881,11.331,19.306,33.673,116.368,6.759,86.806,265.059,1.152,-25.61,False,False,growth,False,0,22804.125,22475.595,-88.752,-88.588,-1.433,18.477,12.796,4.545,Low Income
